,Doctor's Name,speciality,Facility.Name,,
1669,"Dr. Aruna Panini, MD",Urgent Care Specialist,Owensboro Health Muhlenberg Community Hospital,,
1670,"Dr. Kelly Jarrett, MD",Urgent Care Specialist,Highlands Regional Medical Center,,
1671,"Dr. Kelly Jarrett, MD",Urgent Care Specialist,King's Daughters' Medical Center,,
1672,"Dr. Mekdes Hailu, MD",Family Physician,Saint Joseph Hospital,,
1673,"Dr. Mekdes Hailu, MD",Family Physician,Saint Joseph London,,
1674,"Dr. Melissa Leber, MD",Emergency Medicine Physician,Hardin Memorial Hospital,,
1675,"Dr. Aran Degenhardt, MD, CAc",Family Physician,The Medical Center At Bowling Green,,
1676,"Dr. Aran Degenhardt, MD, CAc",Family Physician,Jewish Hospital - Shelbyville,,
1677,"Dr. Melissa Leber, MD",Emergency Medicine Physician,T J Samson Community Hospital,,
1678,"Dr. Alford Smith, MD",Family Physician,St Claire Regional Medical Center,,
1679,"Dr. Arthur Kornblit, MD",Emergency Medicine Physician,Meadowview Regional Medical Center,,
1680,"Dr. Faisal Nagarwala, MD",Family Physician,Middlesboro Appalachian Regional Healthcare Hospit,,
1681,"Dr. Avery Browne, DO",Urgent Care Specialist,Southeastern Ky Medical Center,,
1682,"Dr. Domenico Rotoli, DO",Primary Care Doctor,Spring View Hospital,,
1683,"Dr. Alford Smith, MD",Family Physician,Flaget Memorial Hospital,,
1684,"Dr. Eustace Lashley, MD",Emergency Medicine Physician,Murray-calloway County Hospital,,
1685,"Dr. Rita Malhotra, DO",Urgent Care Specialist,Hazard Arh Regional Medical Center,,
1686,"Dr. Avery Browne, DO",Urgent Care Specialist,St Elizabeth Medical Center North,,
1687,"Dr. Wayne Sebastiano, MD",Family Physician,Our Lady Of Bellefonte Hospital,,
1688,"Dr. Charles Lawrence, MD",Emergency Medicine Physician,Owensboro Health Regional Hospital,,
1689,"Dr. Dean Fong, MD",Urgent Care Specialist,Jewish Hospital & St Mary's Healthcare,,
1690,"Dr. Charles Lawrence, MD",Emergency Medicine Physician,Memorial Hospital,,
1691,"Dr. Blessan Thomas, MD",Family Physician,Pikeville Medical Center,,
1692,"Dr. Rita Malhotra, DO",Urgent Care Specialist,St Elizabeth Florence,,
1693,"Dr. Clement Ayanbadejo, MD",Family Physician,Bourbon Community Hospital,,
1694,"Dr. Joshua Falk, DO",Urgent Care Specialist,Ephraim Mcdowell Regional Medical Center,,
1695,"Dr. Natalia Levinskaya, DO",Family Physician,Baptist Health Richmond,,
1696,"Dr. Marc Felberbaum, MD",Emergency Medicine Physician,Harlan Arh Hospital,,
1697,"Dr. Aleksandr Gleyzer, MD",Emergency Medicine Physician,Jennie Stuart Medical Center,,
1698,"Dr. Omar Corujo Vazquez, MD",Emergency Medicine Physician,Fleming County Hospital,,
1699,"Dr. Abraham Berger, MD",Emergency Medicine Physician,Methodist Hospital,,
1700,"Dr. Menimabasi Ndaessien, DO",Emergency Medicine Physician,Saint Joseph Mount Sterling,,
1701,"Dr. Julieanne Ball, MD",Emergency Medicine Physician,Logan Memorial Hospital,,
1702,"Dr. Shaw Natsui, MD",Emergency Medicine Physician,University Of Kentucky Hospital,,
1703,"Dr. Antonio Dajer, MD",Family Physician,Tug Valley Arh Regional Medical Center,,
1704,"Dr. Marie Lupica, MD",Pediatric Emergency Medicine Specialist,Twin Lakes Regional Medical Center,,
1705,"Dr. Diane Giorgi, MD",Emergency Medicine Physician,Paul B Hall Regional Medical Center,,
1706,"Dr. Piyush Mehta, MD",Pediatrician,Harrison Memorial Hospital,,
1707,"Dr. Carol Barsky, MD",Emergency Medicine Physician,Baptist Health Corbin,,
1708,"Dr. Nicole Bouchard, MD",Emergency Medicine Physician,Taylor Regional Hospital,,
1709,"Dr. Curt Dill, MD",Emergency Medicine Physician,Norton Hospital / Norton Healthcare Pavilion / Nor,,
1710,"Dr. Marc Felberbaum, MD",Emergency Medicine Physician,Clark Regional Medical Center,,
1711,"Dr. Alexander Woo, MD",Emergency Medicine Physician,Baptist Health Madisonville,,
1712,"Dr. Purvi Shah, MD",Emergency Medicine Physician,Crittenden Health System,,
1713,"Dr. Omar Corujo Vazquez, MD",Emergency Medicine Physician,Georgetown Community Hospital,,
1714,"Dr. Peter Steel, MD",Emergency Medicine Physician,Lourdes Hospital,,
1715,"Dr. Christopher Nickerson, MD",Internist,Baptist Health Lexington,,
1716,"Dr. Antonio Dajer, MD",Family Physician,Baptist Health Paducah,,
1717,"Dr. Sarajane Stirling, MD",Internist,Monroe County Medical Center,,
1718,"Dr. Doris Senekjian, MD",Emergency Medicine Physician,The Medical Center At Albany,,
1719,"Dr. Ira Drescher, MD",Emergency Medicine Physician,Rockcastle Regional Hospital & Respiratory Care Ct,,
1720,"Dr. Anne Yim, MD",Internist,Jackson Purchase Medical Center,,
1721,"Dr. Eric Legome, MD",Emergency Medicine Physician,Tristar Greenview Regional Hospital,,
1722,"Dr. Carol Dersarkissian, MD",Emergency Medicine Physician,Frankfort Regional Medical Center,,
1723,"Dr. Erica Walters, MD",Emergency Medicine Physician,Three Rivers Medical Center,,
1724,"Dr. Kimberly Henderson, MD",Emergency Medicine Physician,Baptist Health Louisville,,
1725,"Dr. Nathan Zapolsky, MD",Emergency Medicine Physician,Lake Cumberland Regional Hospital,,
1726,"Dr. Ronald Low, MD",Emergency Medicine Physician,Baptist Health La Grange,,
1727,"Dr. Christopher Nickerson, MD",Internist,Kentucky River Medical Center,,
1728,"Dr. Yan Sun, MD",Emergency Medicine Physician,University Of Louisville Hospital,,
1729,"Dr. Diane Giorgi, MD",Emergency Medicine Physician,Saint Joseph East,,
1730,"Dr. Marc Stoller, MD",Internist,T J Health Columbia,,
1731,"Dr. Doris Senekjian, MD",Emergency Medicine Physician,Marcum & Wallace Memorial Hospital,,
1732,"Dr. Elan Levy, MD",Emergency Medicine Physician,The James B Haggin Memorial Hospital,,
1733,"Dr. Eric Legome, MD",Emergency Medicine Physician,Trigg County Hospital,,
1734,"Dr. Xiomara Antonetti, MD",Emergency Medicine Physician,Saint Joseph Martin,,
1735,"Dr. Purvi Shah, MD",Emergency Medicine Physician,Methodist Hospital Union County,,
1736,"Dr. Nicholas Altman, MD",Emergency Medicine Physician,Morgan County Arh Hospital,,
1737,"Dr. Raymond Chai, MD",Emergency Medicine Physician,Bluegrass Community Hospital,,
1738,"Dr. Kenneth Marx, MD",Family Physician,Casey County Hospital,,
1739,"Dr. Budiarto Ranoewidjojo, DO",Emergency Medicine Physician,Carroll County Memorial Hospital,,
1740,"Dr. Diane Giorgi, MD",Emergency Medicine Physician,St Elizabeth Grant,,
1741,"Dr. Borys Trochym, MD",Emergency Medicine Physician,The Medical Center At Caverna,,
1742,"Dr. Altaf Ansari, MD",Internist,Ephraim Mcdowell Fort Logan Hospital,,
1743,"Dr. Saul Melman, MD",Emergency Medicine Physician,Mary Breckinridge Arh Hospital,,
1744,"Dr. Joseph Lee, DO",Emergency Medicine Physician,Cumberland County Hospital,,
1745,"Dr. David Goldschmitt, MD",Emergency Medicine Physician,The Medical Center At Franklin,,
1746,"Dr. Marc Felberbaum, MD",Emergency Medicine Physician,Breckinridge Memorial Hospital,,
1747,"Dr. Nathan Zapolsky, MD",Emergency Medicine Physician,"Livingston Hospital And Healthcare Services, Inc",,
1748,"Dr. Ronald Low, MD",Emergency Medicine Physician,Wayne County Hospital,,
1749,"Dr. Knox Todd, MD",Emergency Medicine Physician,Caldwell Medical Center,,
1750,"Dr. Nicole Nembhard, MD",Emergency Medicine Physician,Ohio County Hospital,,
1751,"Dr. Eric Jacobs, MD",Emergency Medicine Physician,The Medical Center At Scottsville,,
1752,"Dr. Piyush Mehta, MD",Pediatrician,Jane Todd Crawford Hospital,,
1753,"Dr. Sarajane Stirling, MD",Internist,Marshall County Hospital,,
1754,"Dr. Jason Wood, MD",Emergency Medicine Physician,Barbourville Arh Hospital,,
1755,"Dr. Kelli Outlaw, MD",Emergency Medicine Physician,Saint Joseph Berea,,
1756,"Dr. Vivienne Avramoff, MD",Emergency Medicine Physician,Russell County Hospital,,
1757,"Dr. Ronald Low, MD",Emergency Medicine Physician,Mcdowell Arh Hospital,,
1758,"Dr. Elias Wan, MD",Emergency Medicine Physician,Lafayette General Medical Center,,
1759,"Dr. Rocio Salas-Whalen, MD",Endocrinologist,Thibodaux Regional Medical Center,,
1760,"Dr. Gillian Katz, MD",Endocrinologist,University Medical Center New Orleans,,
1761,"Dr. Rahul Agarwal, MD",Endocrinologist,University Hospital & Clinics,,
1762,"Dr. Cesar Abuchaibe, MD",Endocrinologist,Natchitoches Regional Medical Center,,
1763,"Dr. Peter Goulden, MD",Endocrinologist,Terrebonne General Medical Center,,
1764,"Dr. Olga Leonardi, MD",Endocrinologist,University Health Conway,,
1765,"Dr. Tamar Reisman, MD",Endocrinologist,West Calcasieu Cameron Hospital,,
1766,"Dr. Joan Cantero- Lakhanpal, MD",Endocrinologist,Teche Regional Medical Center,,
1767,"Dr. Joan Cantero- Lakhanpal, MD",Endocrinologist,"North Oaks Medical Center, L L C",,
1768,"Dr. Valerie Oram, MD",Endocrinologist,Opelousas General Health System,,
1769,"Dr. Cesar Abuchaibe, MD",Endocrinologist,Christus St Frances Cabrini Hospital,,
1770,"Dr. Harry Gruenspan, MD",Endocrinologist,Lane Regional Medical Center,,
1771,"Dr. Harry Gruenspan, MD",Endocrinologist,Savoy Medical Center,,
1772,"Dr. Valerie Oram, MD",Endocrinologist,Rapides Regional Medical Center,,
1773,"Dr. Rahul Agarwal, MD",Endocrinologist,Christus St Patrick Hospital,,
1774,"Dr. Jeanine Albu, MD",Endocrinologist,Abbeville General Hospital,,
1775,"Dr. Peter Goulden, MD",Endocrinologist,Ochsner Medical Center,,
1776,"Dr. Deena Adimoolam, MD",Endocrinologist,West Jefferson Medical Center,,
1777,"Dr. Cesar Abuchaibe, MD",Endocrinologist,Slidell Memorial Hospital,,
1778,"Dr. Rahul Agarwal, MD",Endocrinologist,Christus Health Shreveport - Bossier,,
1779,"Dr. Cesar Abuchaibe, MD",Endocrinologist,Acadia General Hospital,,
1780,"Dr. Rajpal Chopra, MD",Endocrinologist,St Tammany Parish Hospital,,
1781,"Dr. Robert S. Bernstein, MD",Endocrinologist,Touro Infirmary,,
1782,"Dr. Yasmin Khan, MD",Endocrinologist,Beauregard Memorial Hospital,,
1783,"Dr. Yasmin Khan, MD",Endocrinologist,Jennings American Legion Hospital,,
1784,"Dr. Se-Min Kim, MD",Endocrinologist,Iberia Medical Center,,
1785,"Dr. Se-Min Kim, MD",Endocrinologist,Lake Charles Memorial Hospital,,
1786,"Dr. Tamar Reisman, MD",Endocrinologist,Our Lady Of The Lake Regional Medical Center,,
1787,"Dr. Vincent Yen, MD",Endocrinologist,Baton Rouge General Medical Center,,
1788,"Dr. Robert S. Bernstein, MD",Endocrinologist,St Charles Parish Hospital,,
1789,"Dr. Pedram Javanmard, MD",Endocrinologist,West Carroll Memorial Hospital,,
1790,"Dr. Rahul Agarwal, MD",Endocrinologist,Northern Louisiana Medical Center,,
1791,"Dr. Stephanie Behringer, MD",Endocrinologist,Springhill Medical Center,,
1792,"Dr. Stephanie Behringer, MD",Endocrinologist,Winn Parish Medical Center,,
1793,"Dr. Zijian Chen, MD",Endocrinologist,Ochsner Lsu Health Shreveport,,
1794,"Dr. Stephanie Behringer, MD",Endocrinologist,Avoyelles Hospital,,
1795,"Dr. Mekdes Hailu, MD",Family Physician,"Our Lady Of Lourdes Regional Medical Center, Inc",,
1796,"Dr. Mekdes Hailu, MD",Family Physician,Oakdale Community Hospital,,
1797,"Dr. Jerome Tolbert, MD",Endocrinologist,"Willis Knighton Medical Center, Inc",,
1798,"Raya Galibov, PA, PAC",Physician Assistant,Claiborne Memorial Medical Center,,
1799,"Dr. Joan Cantero- Lakhanpal, MD",Endocrinologist,Morehouse General Hospital,,
1800,"Dr. Joan Cantero- Lakhanpal, MD",Endocrinologist,Desoto Regional Health System,,
1801,"Dr. Joan Cantero- Lakhanpal, MD",Endocrinologist,St Francis Medical Center,,
1802,"Raya Galibov, PA, PAC",Physician Assistant,Womans Hospital,,
1803,"Dr. Elisa Bocchieri-Bustros, DO",Endocrinologist,Allen Parish Hospital,,
1804,"Dr. Joan Cantero- Lakhanpal, MD",Endocrinologist,Franklin Medical Center,,
1805,"Dr. Jeanine Albu, MD",Endocrinologist,Minden Medical Center,,
1806,"Dr. Deena Adimoolam, MD",Endocrinologist,Lasalle General Hospital,,
1807,"Dr. Deena Adimoolam, MD",Endocrinologist,East Jefferson General Hospital,,
1808,"Dr. Deena Adimoolam, MD",Endocrinologist,Richardson Medical Center,,
1809,"Dr. Monika Datt, DO",Endocrinologist,Glenwood Regional Medical Center,,
1810,"Dr. Mindy Griffith, MD",Endocrinologist,Byrd Regional Hospital,,
1811,"Dr. Domenico Rotoli, DO",Primary Care Doctor,Mercy Regional Medical Center,,
1812,"Dr. Martin Grajower, MD",Endocrinologist,Tulane Medical Center,,
1813,"Dr. Simeng Sun, MD",Endocrinologist,Leonard J Chabert Medical Center,,
1814,"Dr. Swaminathan Giridharan, MD",Endocrinologist,Citizens Medical Center,,
1815,"Dr. Lada Galilova, DO",Primary Care Doctor,"Caldwell Memorial Hospital, Inc",,
1816,"Dr. Christina Jones, MD",Family Physician,Christus Lake Area Hospital,,
1817,"Dr. Lada Galilova, DO",Primary Care Doctor,Ochsner Medical Center - Baton Rouge,,
1818,"Dr. Christina Jones, MD",Family Physician,"Ochsner Medical Center - Northshore, L L C",,
1819,"Dr. Lada Galilova, DO",Primary Care Doctor,Women's And Children's Hospital,,
1820,"Dr. Christina Jones, MD",Family Physician,East Carroll Parish Hospital,,
1821,"Lauren Kelly, NP",Nurse Practitioner,Sabine Medical Center,,
1822,"Dr. Shirin Peters, MD",Internist,Physicians Medical Center,,
1823,"Dr. Lada Galilova, DO",Primary Care Doctor,St Elizabeth Hospital,,
1824,"Dr. Lada Galilova, DO",Primary Care Doctor,Monroe Surgical Hospital,,
1825,"Dr. Shirin Peters, MD",Internist,Surgical Specialty Center Of Baton Rouge,,
1826,"Dr. Christina Jones, MD",Family Physician,Park Place Surgical Hospital,,
1827,"Dr. Shirin Peters, MD",Internist,Sterling Surgical Hospital,,
1828,"Dr. Christina Jones, MD",Family Physician,Lafayette Surgical Specialty Hospital,,
1829,"Dr. Shirin Peters, MD",Internist,Heart Hospital Of Lafayette,,
1830,"Dr. Shirin Peters, MD",Internist,The Spine Hospital Of Louisiana,,
1831,"Dr. Marlyn Fernandez, MD",Endocrinologist,Fairway Medical Center,,
1832,"Dr. Alan Sacerdote, MD",Endocrinologist,Lafayette General Surgical Hospital,,
1833,"Dr. Matin Sharafatkhah, MD",Endocrinologist,Southern Surgical Hospital,,
1834,"Dr. Steven Hodak, MD",Endocrinologist,Ochsner Medical Center-kenner,,
1835,"Dr. Pushplata Siroya, MD",Endocrinologist,Specialists Hospital Shreveport,,
1836,"Dr. Richard Bockman, MD",Internist,Doctors Hospital At Deer Creek L L C,,
1837,"Dr. Herbert Samuels, MD",Endocrinologist,Central Louisiana Surgical Hospital,,
1838,"Dr. Gerald Bernstein, MD",Internist,St Charles Surgical Hospital Llc,,
1839,"Dr. George Liu, MD",Internist,"Omega Hospital, Llc",,
1840,"Dr. Adrienne Fleckman, MD",Internist,Cypress Pointe Surgical Hospital,,
1841,"Dr. Wylie Hembree, MD",Internist,South Cameron Memorial Hospital,,
1842,"Dr. Maryann Nicastro, MD",Endocrinologist,St Bernard Parish Hospital,,
1843,"Dr. Etah Kurland, MD",Internist,Our Lady Of The Angels Hospital,,
1844,"Dr. Stuart Weiss, MD",Endocrinologist,New Orleans East Hospital,,
1845,"Dr. Miroslawa Kudej, MD",Internist,St Helena Parish Hospital,,
1846,"Dr. Ailian Chen, MD",Endocrinologist,Union General Hospital,,
1847,"Dr. Tracy Breen, MD",Endocrinologist,St Martin Hospital,,
1848,"Dr. Eseng Lai, MD",Internist,Assumption Community Hospital,,
1849,"Dr. Fiby Hanna, MD",Internist,North Caddo Medical Center,,
1850,"Dr. David Brillon, MD",Internist,St James Parish Hospital,,
1851,"Dr. Susan Thys-Jacobs, MD",Internist,West Feliciana Parish Hospital,,
1852,"Dr. Saka Kazeem, MD",Internist,Dequincy Memorial Hospital,,
1853,"Dr. James Hurley, MD",Nuclear Medicine Specialist,Prevost Memorial Hospital,,
1854,"Dr. Richard Arnold, MD",Internist,Hood Memorial Hospital,,
1855,"Dr. Vanessa Escobar-Barboza, MD",Internist,Franklin Foundation Hospital,,
1856,"Dr. Lauren Golden, MD",Endocrinologist,Bunkie General Hospital,,
1857,"Dr. Kumarpal Shah, MD",Endocrinologist,Christus Coushatta Health Care Center,,
1858,"Dr. Maria Paliou, MD",Endocrinologist,Riverside Medical Center,,
1859,"Dr. Lisa Tran, DMD",Endodontist,Madison Parish Hospital,,
1860,"Dr. Steven Kaplan, DMD",Endodontist,Hardtner Medical Center,,
1861,"Dr. Lauren Kerpel, DDS",Endodontist,Pointe Coupee General Hospital,,
1862,"Dr. Joseph Zelig, DDS",Endodontist,Jackson Parish Hospital,,
1863,"Dr. Ehsan Farrokhmanesh, DDS",Endodontist,Riverland Medical Center,,
1864,"Dr. Stephanie Tran, DDS",Endodontist,Acadia St Landry,,
1865,"Dr. Eric Nussbaum, DDS",Endodontist,Bienville Medical Center,,
1866,"Dr. Fabiola Douglas, DDS",Endodontist,Lallie Kemp Medical Center,,
1867,"Dr. D. Timothy Culotta, DDS",Dentist,Abrom Kaplan Memorial Hospital,,
1868,"Dr. Oleg Goncharov, DDS",Dentist,Richland Parish Hospital-delhi,,
1869,"Dr. Sasha Alexander, DDS",Endodontist,Ochsner St Anne General Hospital,,
1870,"Dr. Alfred Ho, DDS",Dentist,Lady Of The Sea General Hospital,,
1871,"Dr. Firas Marsheh, DDS",Endodontist,Reeves Memorial Medical Center,,
1872,"Dr. Peter Mann, DDS, FAGD",Dentist,Childrens Hospital,,
1873,"Dr. Jacob Brenman, DMD",Dentist,Shriners Hospitals For Children,,
1874,"Dr. Justin Rashbaum, DMD",Dentist,St Joseph Hospital,,
1875,"Dr. Marina Mats, DDS",Dentist,Mercy Hospital,,
1876,"Dr. Anna Glinianska, DDS",Endodontist,Maine Medical Center,,
1877,"Dr. Todd Bertman, DMD",Dentist,Aroostook Medical Center,,
1878,"Dr. Todd Bertman, DMD",Dentist,Southern Maine Health Care,,
1879,"Dr. Ziad Jalbout, DDS",Dentist,York Hospital,,
1880,"Dr. Gerald Wank, DDS",Dentist,Mid Coast Hospital,,
1881,"Dr. Nicole Khalife, DDS",Dentist,Central Maine Medical Center,,
1882,"Dr. Reshma Jacob, DDS",Dentist,Cary Medical Center,,
1883,"Dr. Mehdi Aryan, DMD",Dentist,Eastern Maine Medical Center,,
1884,"Dr. Tyler Smith, DMD",Dentist,St Mary's Regional Medical Center,,
1885,"Dr. Charles Marks, DDS",Dentist,Franklin Memorial Hospital,,
1886,"Dr. Anthony Leonetti, DMD",Dentist,Mainegeneral Medical Center,,
1887,"Dr. Billy Choi, DDS",Dentist,Northern Light Inland Hospital,,
1888,"Dr. Charley Levy, DDS",Dentist,Northern Light Maine Coast Hospital,,
1889,"Dr. Edward Wu, DDS",Dentist,Northern Maine Medical Center,,
1890,"Dr. Alla Dorfman, DDS",Dentist,Penobscot Bay Medical Center,,
1891,"Dr. Uri Levy, DMD",Dentist,Blue Hill Memorial Hospital,,
1892,"Dr. Rakhee Patel, DMD",Dentist,Charles A Dean Memorial Hospital,,
1893,"Dr. Lorna Flamer-Caldera, DDS, FAGD",Dentist,St Andrews Hospital,,
1894,"Dr. Samantha Shapiro, DMD",Dentist,Penobscot Valley Hospital,,
1895,"Dr. Ziwei Gao, DDS",Dentist,Mount Desert Island Hospital,,
1896,"Dr. Barnett Geller, DDS",Dentist,Calais Regional Hospital,,
1897,"Dr. Eric Chason, DDS",Dentist,Rumford  Hospital,,
1898,"Dr. Mehran Morovati, DDS",Dentist,Millinocket Regional Hospital,,
1899,"Dr. Cheng Tai, DDS",Dentist,Houlton Regional Hospital,,
1900,"Dr. Lindsay Gadzik, DDS",Dentist,Mayo Regional Hospital,,
1901,"Dr. Edward Mirzoian, DMD",Dentist,Bridgton Hospital,,
1902,"Dr. Daniel Wank, DDS",Periodontist,Down East Community Hospital,,
1903,"Dr. Jonathan Kim, DDS",Endodontist,Waldo County General Hospital,,
1904,"Dr. Robert Lipschutz, DMD",Dentist,Sebasticook Valley Health,,
1905,"Dr. Cynthia Co Ting Keh, DDS",Dentist,Redington Fairview General Hospital,,
1906,"Dr. Daniel Weiss, DDS",Dentist,Stephens Memorial Hospital,,
1907,"Dr. Gerald Wank, DDS",Dentist,Meritus Medical Center,,
1908,"Dr. Kyle Jonna, DDS",Dentist,University Of Maryland Medical Center,,
1909,"Dr. Sonia Kohli, DDS",Dentist,University Of Md Prince George's Hospital Ctr,,
1910,"Dr. Nicole Khalife, DDS",Dentist,Holy Cross Hospital,,
1911,"Dr. Alina Lane, DDS",Dentist,Frederick Memorial Hospital,,
1912,"Dr. Yi-Ling Shiao, DDS",Dentist,University Of Maryland Harford Memorial Hospital,,
1913,"Dr. Rachel Yang, DDS",Dentist,Mercy Medical Center Inc,,
1914,"Dr. Steven Glassman, DDS",Dentist,"Johns Hopkins Hospital, The",,
1915,"Dr. Charles Marks, DDS",Dentist,Saint Agnes Hospital,,
1916,"Dr. Wonnie Rhieu, DDS, MS",Dentist,Sinai Hospital Of Baltimore,,
1917,"Dr. Marina Shimshi, DDS",Dentist,Bon Secours Hospital,,
1918,"Dr. Roman Roytberg, DDS",Dentist,Medstar Franklin Square Medical Center,,
1919,"Dr. Lloyd Becker, DDS",Dentist,Adventist Healthcare Washington Adventist Hospital,,
1920,"Dr. Carolyn Morgan, DDS",Dentist,Garrett County Memorial Hospital,,
1921,"Dr. Markelle Smith, DMD",Dentist,Medstar Montgomery Medical Center,,
1922,"Dr. Erin Hong, DDS",Dentist,Peninsula Regional Medical Center,,
1923,"Dr. Mee Kyung (Michelle) Han, DMD",Dentist,Suburban Hospital,,
1924,"Dr. Devi Konar, DDS",Dentist,Anne Arundel Medical Center,,
1925,"Dr. Wynatte Chu, DDS",Dentist,Medstar Union Memorial Hospital,,
1926,"Dr. Jonathan Okon, DMD",Dentist,Western Maryland Regional Medical Center,,
1927,"Dr. Antonio Clares, DDS",Dentist,Medstar Saint Mary's Hospital,,
1928,"Dr. Khrystyna Kostsyuh, DDS",Prosthodontist,Johns Hopkins Bayview Medical Center,,
1929,"Dr. Eunjung Jo, DDS",Dentist,University Of Md Shore Medical Ctr At Chestertown,,
1930,"Dr. Herrick Lai, DDS",Dentist,Union Hospital Of Cecil County,,
1931,"Dr. Angela Lee, DDS",Dentist,Carroll Hospital Center,,
1932,"Dr. Irwin Medina, DDS",Dentist,Medstar Harbor Hospital,,
1933,"Dr. Jordan Reich, DDS",Dentist,University Of Md Charles Regional  Medical Center,,
1934,"Dr. Amir Shahabi, DDS",Dentist,University Of Md Shore Medical Center At Easton,,
1935,"Dr. Isaac Bar, DMD",Dentist,University Of Md Medical Center Midtown Campus,,
1936,"Dr. Mehdi Aryan, DMD",Dentist,Calverthealth Medical Center,,
1937,"Dr. Preethi Chauhan, DDS",Dentist,Northwest Hospital Center,,
1938,"Dr. Sofiya (Sonya) Krasilnikov, DDS",Dentist,University Of Md Balto Washington  Medical Center,,
1939,"Dr. Zoya Zak, DDS",Dentist,Greater Baltimore Medical Center,,
1940,"Dr. James Kleinfelder, DDS",Dentist,Edward Mccready Memorial Hospital,,
1941,"Dr. Andrew Deutch, DDS",Dentist,Howard County General Hospital,,
1942,"Dr. Irina Sinensky, DDS",Dentist,University Of M D Upper Chesapeake Medical Center,,
1943,"Dr. Isabel Del Carpio, DDS",Dentist,Doctors'  Community Hospital,,
1944,"Dr. Paulina Jalocha, DDS",Dentist,University Of Md Laurel Regional Hospital,,
1945,"Dr. Yohan Kim, DMD, FICOI",Dentist,Medstar Good Samaritan Hospital,,
1946,"Dr. William Wong, DDS",Dentist,Adventist Healthcare Shady Grove Medical Center,,
1947,"Dr. Jeffrey Schoenberg, DDS",Dentist,Univ Of Md Rehabilitation &  Orthopaedic Institute,,
1948,"Dr. Arti Patel Upadhyay, DDS",Dentist,Fort Washington Hospital,,
1949,"Dr. Ziwei Gao, DDS",Dentist,Atlantic General Hospital,,
1950,"Dr. Alexander Shalman, DDS",Dentist,Medstar Southern Maryland Hospital Center,,
1951,"Dr. Edward Alvarez, DDS, BA",Dentist,University Of Maryland St Joseph Medical Center,,
1952,"Dr. Edward Wong, DDS",Dentist,Levindale Hebrew Geriatric Center And Hospital,,
1953,"Dr. Francine Estrada, DDS",Dentist,Holy Cross Germantown Hospital,,
1954,"Dr. Liel Grinbaum, DMD",Pediatric Dentist,Mount Washington Pediatric Hospital,,
1955,"Dr. Karen Altszuler, DDS",Dentist,Kennedy Krieger Institute,,
1956,"Dr. Nicole Mermet, DMD",Dentist,Health Alliance - Clinton Hospital,,
1957,"Dr. Jacob (Jake) Donohue, DMD",Dentist,Mount Auburn Hospital,,
1958,"Dr. Jason Alster, DDS",Dentist,Sturdy Memorial Hospital,,
1959,"Dr. Careen Fletcher, DMD",Dentist,Lawrence General Hospital,,
1960,"Dr. Frank Orlando, DDS",Dentist,Cambridge Health Alliance,,
1961,"Dr. Michael Zemelman, DDS",Dentist,Cape Cod Hospital,,
1962,"Dr. Bisma Sohail, DMD",Dentist,"Cooley Dickinson Hospital Inc,the",,
1963,"Dr. Sanjay Jagani, DDS, BDS",Dentist,Baystate Franklin Medical Center,,
1964,"Dr. Mirjana Sadeghi, DDS",Dentist,Carney Hospital,,
1965,"Dr. David Kroner, DDS",Dentist,Harrington Memorial Hospital-1,,
1966,"Dr. Michael Kohl, DDS",Dentist,Saint Anne's Hospital,,
1967,"Dr. Alexander Kimon, DMD",Dentist,Holyoke Medical Center,,
1968,"Dr. Raquel Nestorovski, DMD",Dentist,Anna Jaques Hospital,,
1969,"Dr. Todd Goldstein, DDS",Dentist,Baystate Wing Hospital And Medical Centers,,
1970,"Dr. Jonathan Freed, DDS",Dentist,Boston Medical Center Corporation-,,
1971,"Dr. Scott Fine, DDS",Dentist,Beverly Hospital Corporation,,
1972,"Dr. Daniell Mishaan, DMD",Dentist,North Shore Medical Center -,,
1973,"Dr. Jenny Armstrong, DDS",Dentist,St Elizabeth's Medical Center,,
1974,"Dr. Joseph Pantaleo, DDS",Dentist,Berkshire Medical Center Inc - 1,,
1975,"Dr. Atish Patel, DDS",Dentist,Marlborough Hospital,,
1976,"Dr. Monika Kurzatkowski (Kulawik), DMD",Dentist,Signature Healthcare Brockton Hospital,,
1977,"Dr. Jason Bastida, DDS",Dentist,Beth Israel Deaconess Hospital - Plymouth,,
1978,"Dr. Fan Mou, DDS",Dentist,Adcare Hospital Of Worcester Inc,,
1979,"Dr. Evelyn Baran, DDS",Dentist,Lowell General Hospital,,
1980,"Dr. Alex Gause, DDS",Dentist,Baystate Noble Hospital,,
1981,"Dr. Matthew Edwards, DDS",Dentist,Mercy Medical Ctr,,
1982,"Dr. Mitchell Sabbagh, DMD",Dentist,Melrosewakefield Healthcare,,
1983,"Dr. Dong-Jin Shin, DMD",Dentist,Massachusetts General Hospital,,
1984,"Dr. Dmitriy Kuznetsov, DDS",Dentist,Morton Hospital,,
1985,"Dr. Avo Samuelian, DDS",Dentist,"Southcoast Hospital Group, Inc",,
1986,"Dr. Yenan Xu, DDS",Dentist,Massachusetts Eye And Ear Infirmary -,,
1987,"Dr. Irina Reyzelman, DDS",Dentist,Baystate Medical Center,,
1988,"Dr. Franklyn Aguebor, DMD",Dentist,Holy Family Hospital,,
1989,"Dr. Careen Fletcher, DMD",Dentist,Beth Israel Deaconess Hospital - Needham,,
